country,cur_gov_aq_mon_2024,cur_gov_aq_mon_2022,pub_acc_data_in_country_only,ful_trans,par_trans,physical_data_av,st_lev_and_coord_av,timely_fine_scale_av,prog_acess_av,data_sharing_status
dominican republic,no,yes,no,NA,NA,NA,NA,NA,NA,Do not monitor
algeria,yes,yes,no,NA,NA,NA,NA,NA,NA,Monitor: do not share data
ecuador,yes,yes,no,NA,NA,NA,NA,NA,NA,Monitor: do not share data
egypt,yes,yes,yes,no,yes,no,yes,yes,no,Monitor: share data partially
eritrea,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
spain,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
estonia,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
ethiopia,yes,yes,no,NA,NA,NA,NA,NA,NA,Monitor: do not share data
finland,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
fiji,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
france,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
federated states of micronesia,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
gabon,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
united kingdom,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
georgia,yes,yes,yes,no,yes,yes,yes,no,no,Monitor: share data partially
ghana,yes,yes,yes,no,yes,no,no,yes,no,Monitor: share data partially
guinea,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
gambia,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
guinea bissau,yes,no,no,NA,NA,NA,NA,NA,NA,Monitor: do not share data
equatorial guinea,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
greece,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
grenada,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
guatemala,yes,yes,yes,no,yes,yes,no,yes,no,Monitor: share data partially
guyana,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
hong kong s.a.r.,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
honduras,yes,no,yes,no,yes,yes,no,no,no,Monitor: share data partially
croatia,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
haiti,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
hungary,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
indonesia,yes,yes,yes,no,yes,yes,no,yes,no,Monitor: share data partially
india,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
ireland,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
iran,no,yes,no,NA,NA,NA,NA,NA,NA,Do not monitor
iraq,no,yes,no,NA,NA,NA,NA,NA,NA,Do not monitor
iceland,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
israel,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
italy,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
jamaica,yes,yes,no,NA,NA,NA,NA,NA,NA,Monitor: do not share data
jordan,yes,yes,yes,no,yes,no,yes,yes,no,Monitor: share data partially
japan,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
kazakhstan,yes,yes,yes*,no,yes,yes,yes,yes,no,Monitor: share data partially
kenya,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
kyrgyzstan,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
cambodia,yes,yes,yes,no,yes,no,no,yes,no,Monitor: share data partially
kiribati,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
saint kitts and nevis,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
south korea,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
kosovo,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
kuwait,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
laos,yes,no,yes,no,yes,yes,yes,no,no,Monitor: share data partially
lebanon,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
liberia,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
libya,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
saint lucia,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
liechtenstein,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
sri lanka,yes,yes,yes,no,yes,no,no,yes,no,Monitor: share data partially
lesotho,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
lithuania,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
luxembourg,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
latvia,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
morocco,yes,yes,no,NA,NA,NA,NA,NA,NA,Monitor: do not share data
monaco,yes,yes,yes,no,yes,no,no,yes,no,Monitor: share data partially
moldova,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
madagascar,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
maldives,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
mexico,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
marshall islands,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
macedonia,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
mali,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
malta,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
myanmar,yes,yes,no,NA,NA,NA,NA,NA,NA,Monitor: do not share data
montenegro,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
mongolia,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
mozambique,yes,no,no,NA,NA,NA,NA,NA,NA,Monitor: do not share data
mauritania,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
mauritius,yes,yes,yes,no,yes,no,yes,yes,no,Monitor: share data partially
malawi,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
malaysia,yes,yes,yes,no,yes,no,yes,yes,no,Monitor: share data partially
namibia,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
niger,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
nigeria,yes,yes,yes,no,yes,no,yes,yes,no,Monitor: share data partially
nicaragua,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
netherlands,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
norway,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
nepal,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
nauru,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
new zealand,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
oman,yes,yes,yes,no,yes,yes,no,no,yes,Monitor: share data partially
pakistan,yes,yes,yes,no,yes,yes,no,yes,no,Monitor: share data partially
panama,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
peru,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
philippines,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
palau,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
papua new guinea,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
poland,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
puerto rico,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
north korea,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
portugal,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
paraguay,yes,yes,no,NA,NA,NA,NA,NA,NA,Monitor: do not share data
palestine,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
qatar,yes,yes,no,NA,NA,NA,NA,NA,NA,Monitor: do not share data
romania,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
russia,yes,yes,yes,no,yes,no,yes,yes,no,Monitor: share data partially
rwanda,yes,yes,yes,no,yes,no,yes,yes,no,Monitor: share data partially
saudi arabia,yes,yes,no,no,NA,no,yes,yes,no,Monitor: do not share data
sudan,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
south sudan,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
senegal,yes,yes,yes,no,yes,no,no,yes,no,Monitor: share data partially
singapore,yes,yes,yes,no,yes,yes,no,yes,no,Monitor: share data partially
solomon islands,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
sierra leone,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
el salvador,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
san marino,yes,no,yes,no,yes,yes,no,yes,no,Monitor: share data partially
somalia,yes,no,no,NA,NA,NA,NA,NA,NA,Monitor: do not share data
republic of serbia,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
sao tome and principe,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
suriname,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
slovakia,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
slovenia,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
sweden,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
swaziland,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
seychelles,yes,no,yes,no,yes,no,yes,yes,no,Monitor: share data partially
syria,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
chad,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
togo,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
thailand,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
tajikistan,yes,yes,yes,no,yes,no,no,yes,no,Monitor: share data partially
turkmenistan,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
east timor,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
tonga,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
trinidad and tobago,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
tunisia,no,yes,no,NA,NA,NA,NA,NA,NA,Do not monitor
turkey,yes,yes,yes*,no,yes,yes,yes,yes,no,Monitor: share data partially
taiwan,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
united republic of tanzania,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
uganda,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
ukraine,no,yes,no,NA,NA,NA,NA,NA,NA,Do not monitor
uruguay,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
united states of america,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
uzbekistan,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
saint vincent and the grenadines,yes,no,no,NA,NA,NA,NA,NA,NA,Monitor: do not share data
venezuela,yes,no,no,NA,NA,NA,NA,NA,NA,Monitor: do not share data
vietnam,yes,yes,yes,no,yes,no,yes,yes,no,Monitor: share data partially
vanuatu,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
samoa,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
yemen,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
south africa,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
zambia,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
zimbabwe,yes,no,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
cyprus,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
tuvalu,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
